vivienda_id_sistema,familia_id_sistema,departamento,municipio,area,comuna_o_corregimiento,barrio_o_vereda,sector,ingresos_familiares,perros_machos,perros_hembras,perros_vacunados,perros_sin_vacunar,gatos_machos,gatos_hembras,gatos_vacunados,gatos_sin_vacunar,equinos,aves,porcinos,bovinos,otros,otros_nombre,presencia_roedores,perros_peligrosos,fecha_visita
42026,85167,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42027,85168,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42028,85169,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42029,85172,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42030,85174,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42031,85175,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,SANTA HELENA,SANTA HELENA,1,1,1,2,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42032,85182,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,2 - No,2 - No,10/05/2022 12:00:00 AM
42033,85183,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1 - Si,,10/05/2022 12:00:00 AM
42034,85188,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Conejo,2 - No,2 - No,10/05/2022 12:00:00 AM
42036,85194,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,999,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42037,85195,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42038,85196,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/05/2022 12:00:00 AM
42039,85199,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42040,85200,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,1,1,0,1,0,0,0,0,0,0,2,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42042,85202,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,500,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42044,85209,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,JOSE HILARIO LOPEZ,JOSE HILARIO LOPEZ,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42049,85214,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,JOSE HILARIO LOPEZ,JOSE HILARIO LOPEZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42050,85218,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/05/2022 12:00:00 AM
42051,85219,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/05/2022 12:00:00 AM
42052,85220,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/05/2022 12:00:00 AM
42053,85221,66 - RISARALDA,001 - PEREIRA,U,VILLASANTANA,EL DANUBIO,EL DANUBIO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42056,85227,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,JOSE HILARIO LOPEZ,JOSE HILARIO LOPEZ,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42060,85231,66 - RISARALDA,001 - PEREIRA,U,FERROCARRIL,JOSE HILARIO LOPEZ,JOSE HILARIO LOPEZ,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42061,85237,66 - RISARALDA,001 - PEREIRA,R,PUERTO CALDAS,PUERTO CALDAS,EL COFRE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42062,85239,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42063,85240,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42064,85241,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42066,85243,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/05/2022 12:00:00 AM
42068,85245,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42069,85246,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42072,85249,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/05/2022 12:00:00 AM
42078,85265,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42079,85266,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,1,0,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42080,85268,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42081,85269,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42083,85273,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42084,85274,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42085,85275,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,999,1,0,1,0,0,0,0,0,0,0,0,0,1,Conejo,2 - No,2 - No,10/06/2022 12:00:00 AM
42086,85276,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42087,85277,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/06/2022 12:00:00 AM
42088,85278,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,1,0,0,1,1,0,0,1,0,0,0,0,0,,1 - Si,2 - No,10/06/2022 12:00:00 AM
42090,85280,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42091,85281,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,1,1,2,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/06/2022 12:00:00 AM
42092,85282,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42093,85283,66 - RISARALDA,001 - PEREIRA,R,CERRITOS,ESPERANZA GALICIA,ESPERANZA GALICIA,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,1 - Si,2 - No,10/06/2022 12:00:00 AM
42094,85291,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,AMERICA *,AMERICA *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42095,85292,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,AMERICA *,AMERICA *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42096,85293,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,AMERICA *,AMERICA *,999,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/06/2022 12:00:00 AM
42098,85299,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42099,85300,66 - RISARALDA,001 - PEREIRA,U,RIO OTUN,JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,2 - No,2 - No,10/06/2022 12:00:00 AM
42100,85302,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,1 - Si,,10/06/2022 12:00:00 AM
42101,85303,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/06/2022 12:00:00 AM
42102,85304,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/06/2022 12:00:00 AM
42103,85305,66 - RISARALDA,001 - PEREIRA,U,EL ROCIO,ROCIO ALTO *,ROCIO ALTO *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2 - No,,10/06/2022 12:00:00 AM
